atletas.apelido,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name
Jean Pyerre,9,0.0,3.0,Grêmio
Pedrinho,9,1.0,2.63,Corinthians
Riuler,9,0.0,1.0,Atlético-PR
Jean Lucas,9,-0.3,1.32,Flamengo
Ronald,9,0.0,1.0,Internacional
Marquinhos,9,0.0,1.0,Atlético-MG
Caio Henrique,9,4.5,4.69,Paraná
Lucas Silva,9,0.0,2.0,Flamengo
Marcelo,9,0.0,2.0,Atlético-PR
Alexsander,9,0.0,1.0,Atlético-PR
Felipe,9,0.0,1.0,Fluminense
Baralhas,9,0.0,2.0,Atlético-PR
Linik,9,0.0,1.0,Vitória
Caio,9,0.0,1.0,Atlético-PR
Vinicius Junior,9,2.7,15.67,Flamengo
Éder Militão,9,2.5,12.56,São Paulo
João Carlos,9,0.7,0.81,Fluminense
Daniel ,9,0.0,1.0,Atlético-PR
Valdir,9,0.0,9.34,Vasco
Robinho,9,-1.1,4.17,Fluminense
Juan Alano,9,-0.3,1.83,Internacional
Paulo Vitor,9,0.0,2.68,Vasco
Esperon,9,0.0,1.0,Grêmio
Juan,9,0.0,7.2,Flamengo
Arthur,9,0.0,3.0,Cruzeiro
Patrick,9,1.4,1.8,Ceará
Jadson,9,0.0,1.0,Grêmio
Leonardo Simas,9,0.0,1.0,Atlético-PR
Léo Passos,9,0.0,2.0,Palmeiras
Paulinho,9,0.0,8.0,Vasco
Ricardo,9,-0.3,3.48,Vasco
Júnior Brumado,9,2.0,3.41,Bahia
Igor Gomes,9,0.0,1.0,São Paulo
Jhonny Lucas,9,0.0,4.81,Paraná
Thuler,9,0.0,4.36,Flamengo
Ezequiel,9,0.0,4.93,Botafogo
Lucas Campos,9,0.0,1.0,Botafogo
Lincoln,9,0.0,2.59,Flamengo
Pablo Maldini,9,0.0,1.0,Flamengo
Brenner,9,0.0,2.76,São Paulo
Khevin,9,0.0,2.0,Chapecoense
Lucas Poletto,9,0.0,2.0,Grêmio
Vander,9,0.0,1.0,Cruzeiro
Paulinho,9,2.5,1.29,São Paulo
Lucas Soares,9,0.0,1.0,Cruzeiro
Pedrão,9,0.0,2.0,Palmeiras
Kleber,9,0.0,2.0,Flamengo
Matheus Matias,9,0.0,4.0,Corinthians
Weverton Almeida,9,0.0,1.0,Atlético-PR
Filipe,9,0.0,1.0,Corinthians
Matheus Henrique,9,0.0,1.0,Grêmio
Rodrygo,9,31.1,15.79,Santos
Yuri Alberto,9,0.0,2.11,Santos
Gabriel,9,0.0,1.0,São Paulo
Matheus Guedes,9,0.0,2.0,Santos
Liziero,9,-0.8,4.42,São Paulo
Bremer,9,4.7,6.58,Atlético-MG
Guilherme Guedes,9,0.0,1.0,Grêmio
Bissoli,9,0.0,2.0,São Paulo
Emerson Barbosa,9,0.0,1.0,Santos
Ruan,9,0.0,1.0,Grêmio
Brenno,9,0.0,1.0,Grêmio
Ericson,9,0.0,2.0,Grêmio
Alanzinho,9,0.0,3.0,Palmeiras
Emanuel,9,0.0,2.0,Grêmio
Patrick,9,0.0,2.0,Grêmio
Aníbal,9,0.0,1.0,Palmeiras
Lucas Araújo,9,0.0,1.0,Grêmio
Felipe,9,0.0,2.0,Grêmio
Esteves,9,0.0,1.0,Palmeiras
Hygor,9,0.0,0.75,Sport
Vitinho,9,0.0,0.95,Cruzeiro
Ferreira,9,0.0,3.27,Sport
Luan Cândido,9,0.0,1.0,Palmeiras
Guilherme Vieira,9,0.0,1.0,Palmeiras
Helerson,9,0.0,1.0,Botafogo
Murillo Lopes,9,0.0,2.0,Paraná
Ademir,9,7.7,3.2,América-MG
Bruno Silva,9,0.7,1.2,Chapecoense
Igor Campos,9,0.0,1.0,Chapecoense
Marco Saravia,9,0.0,1.0,Grêmio
Paulo Henrique,9,0.0,1.0,São Paulo
Mano Menezes,9,5.06,11.02,Cruzeiro
Mendonça,9,0.0,1.0,Grêmio
Hugo Souza,9,0.0,1.0,Flamengo
Rodrigo Ancheta,9,0.0,1.0,Grêmio
Thonny Anderson,9,1.7,3.59,Grêmio
Isaque,9,0.0,2.0,Grêmio
Pepê,9,0.0,2.0,Flamengo
Michael,9,0.0,1.0,Flamengo
Wendel,9,0.0,1.0,Flamengo
Robson Bambu,9,0.0,1.0,Santos
Matheus Dantas,9,0.0,1.0,Flamengo
Hugo Moura,9,0.0,2.0,Flamengo
Lucas Lourenço,9,0.0,1.0,Santos
Dudu,9,0.0,2.0,Fluminense
João Vitor,9,0.0,1.0,Fluminense
Léo Gomes,9,0.0,1.0,Vitória
Vitor Gabriel,9,0.0,1.0,Flamengo
Caio,9,0.0,2.0,Fluminense
Demethryus,9,0.0,1.0,Atlético-PR
Guilherme Ribeiro,9,0.0,1.0,Atlético-PR
Alerrandro,9,0.0,0.95,Atlético-MG
Ramon,9,0.0,1.0,Flamengo
Felipe Jonatan,9,0.0,1.0,Ceará
Rafael França,9,0.0,1.0,Vasco
Fernando,9,0.0,2.0,Palmeiras
Lucas Santos,9,2.0,1.18,Vasco
Bruno Roberto,9,1.0,0.96,Atlético-MG
Miranda,9,0.0,1.0,Vasco
João Pedro,9,0.0,1.0,Vasco
João Pedro Ribeiro,9,0.0,1.0,Bahia
Marcelinho,9,0.0,4.0,Grêmio
Patrick,9,0.0,1.0,Flamengo
Júnior Santos,9,0.0,0.97,Chapecoense
Lucas Paes,9,0.0,1.0,São Paulo
Carlos Augusto,9,0.0,1.0,Corinthians
Flávio,9,0.0,2.0,Vitória
Brenner,9,0.0,0.74,Internacional
Matheus Santos,9,0.0,1.0,América-MG
Toró,9,0.0,3.0,São Paulo
Tiago Cunha,9,0.0,1.0,Ceará
Carneiro,9,0.0,4.0,São Paulo
Guilherme Nunes,9,0.0,1.0,Santos
Miullen,9,0.0,2.0,Chapecoense
Vitor Naum,9,0.0,1.0,Atlético-PR
Vitor Eudes,9,0.0,1.0,Cruzeiro
Gabriel,9,0.0,1.0,Atlético-PR
Maurício,9,0.0,1.0,Ceará
Thiago Larghi,9,5.52,10.63,Atlético-MG
Lucas Halter,9,0.0,1.0,Atlético-PR
Warley,9,0.0,1.0,Paraná
Rodrigo Carioca,9,0.0,1.0,Paraná
Matheus Lira,9,0.0,1.0,Ceará
Luan,9,0.0,1.23,Vitória
Gilson Kleina,9,2.95,7.33,Chapecoense
Gabriel Calabres,9,0.0,3.0,Santos
Bruno Leite,9,0.0,1.0,Atlético-PR
Macula,9,0.0,1.0,Fluminense
Mikael,9,0.0,1.0,Sport
Marcelo,9,0.2,0.79,Cruzeiro
Ronaldo,9,0.0,1.0,América-MG
Papagaio,9,0.0,1.31,Palmeiras
Cacá,9,0.0,1.0,Cruzeiro
Léo Xavier,9,0.0,1.0,Vitória
Fernando Castro,9,0.0,1.0,Bahia
Kevin,9,0.0,1.0,Atlético-MG
Thiaguinho,9,0.0,3.0,Corinthians
Yago Darub,9,0.0,1.0,Flamengo
Nathan,9,0.0,3.7,Fluminense
Bruno Cosendey,9,0.0,4.75,Vasco
Santiago,9,0.0,1.0,Grêmio
Diego,9,0.0,1.0,Vitória
Rafael Moura,9,0.0,12.08,América-MG
Michel Bastos,9,0.4,4.29,Sport
Luis David,9,0.0,1.0,Ceará
Moresche,9,0.0,0.74,Vasco
