atletas.apelido,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name
Léo Moura,9,0.0,6.12,Grêmio
Marcelo Boeck,9,0.0,3.31,Fortaleza
Edinho,9,0.0,1.89,Ceará
Rafael Sobis,9,18.6,9.26,Internacional
Anderson,9,0.0,2.08,Bahia
Fernando Prass,9,0.0,8.0,Palmeiras
Rafinha,9,0.0,10.0,Flamengo
Maicon,9,0.0,8.35,Grêmio
Fred,9,0.0,5.34,Cruzeiro
Fábio Santos,9,2.5,10.45,Atlético-MG
Diego Tardelli,9,1.0,8.23,Grêmio
Thiago Neves,9,1.4,8.04,Cruzeiro
Jadson,9,-0.3,3.41,Corinthians
Márcio Araújo,9,1.7,8.85,Chapecoense
Thiago Heleno,9,0.0,1.27,Athlético-PR
Diego Cavalieri,9,1.0,5.46,Botafogo
Wellington Paulista,9,0.0,10.59,Fortaleza
Carlinhos,9,1.7,5.91,CSA
Leandro Castan,9,0.0,11.0,Vasco
Daniel Marcos,9,0.0,1.0,Corinthians
Diego Alves,9,0.0,7.78,Flamengo
Dodô,9,-0.8,5.13,Cruzeiro
Marquinhos Silva,9,0.0,6.52,Avaí
Felipe Melo,9,0.3,6.49,Palmeiras
Nilton,9,-0.3,2.91,CSA
Hernanes,9,3.4,13.65,São Paulo
Douglas,9,-0.9,5.2,Avaí
Diego,9,0.0,5.31,Flamengo
Matheus Ferraz,9,0.0,6.23,Fluminense
Vagner Love,9,-0.1,3.72,Corinthians
Nenê,9,6.4,6.55,São Paulo
Renato,9,0.0,5.74,Chapecoense
Ricardo Oliveira,9,1.7,14.33,Atlético-MG
Egídio,9,0.0,9.55,Cruzeiro
Willian,9,0.0,10.0,Palmeiras
Vanderlei Luxemburgo,9,5.49,7.82,Vasco
Renato Gaúcho,9,4.43,11.49,Grêmio
André Moritz,9,0.0,3.64,Avaí
Osvaldo,9,0.0,4.79,Fortaleza
Amaral,9,0.0,3.47,Chapecoense
Márcio Azevedo,9,0.0,4.16,Athlético-PR
Madson,9,0.0,6.21,CSA
Cuca,9,2.73,9.27,São Paulo
Cássio,9,0.0,8.71,Corinthians
Bruno,9,0.0,5.46,Internacional
Rhodolfo,9,0.0,4.63,Flamengo
Tião,9,0.0,1.0,Fortaleza
Fagner,9,0.0,15.29,Corinthians
Júlio César,9,0.0,6.05,Grêmio
Luiz Felipe Scolari,9,7.3,12.61,Palmeiras
Ernando,9,0.0,10.78,Bahia
Alexandre Pato,9,9.2,9.1,São Paulo
Ramires,9,0.0,10.0,Palmeiras
Adilson,9,9.1,8.75,Atlético-MG
Everton,9,0.0,7.38,São Paulo
Guilherme,9,0.0,3.31,Fluminense
David Braz,9,0.0,7.0,Grêmio
Hudson,9,2.6,11.4,São Paulo
Elicarlos,9,2.7,5.19,Chapecoense
Kayke,9,13.3,9.02,Goiás
Breno,9,0.0,6.0,Vasco
Marcelo Oliveira,9,0.0,5.0,Grêmio
Marquinho,9,0.0,6.0,Vasco
Eduardo,9,0.0,9.19,Chapecoense
Pedro Ken,9,0.0,3.17,Ceará
Rafael Pereira,9,0.0,5.26,Chapecoense
Henrique,9,-0.5,6.9,Corinthians
Léo,9,-3.5,6.61,Cruzeiro
Thiago Carleto,9,0.0,7.44,Ceará
Roger Carvalho,9,0.0,3.87,Fortaleza
Apodi,9,-2.0,3.55,CSA
Walter,9,0.7,7.05,Corinthians
Everton Ribeiro,9,13.1,13.86,Flamengo
Tiago Alves,9,0.0,6.0,Ceará
Ralf,9,7.2,11.05,Corinthians
Réver,9,10.0,12.55,Atlético-MG
Gilson,9,-0.5,4.47,Botafogo
Victor,9,-2.3,6.56,Atlético-MG
Bruno César,9,0.0,7.32,Vasco
Elias,9,1.8,9.75,Atlético-MG
Derley,9,1.5,4.08,Fortaleza
Uendel,9,0.4,2.83,Internacional
Anderson Martins,9,0.5,2.8,São Paulo
Patric,9,-3.7,3.03,Atlético-MG
Rodriguinho,9,0.0,5.52,Cruzeiro
Camacho,9,0.0,4.3,Athlético-PR
Gilberto,9,0.0,17.49,Bahia
Carlos Cesar,9,0.0,4.0,Atlético-MG
Evandro,9,0.0,6.0,Santos
Fernandão,9,11.1,8.47,Bahia
Fabrício,9,0.0,1.0,CSA
Airton,9,0.0,1.57,Fluminense
Camilo,9,8.6,7.36,Chapecoense
Jean,9,0.0,6.0,Palmeiras
Robinho,9,-5.1,6.26,Cruzeiro
Pará,9,0.0,5.42,Flamengo
Leandro Souza,9,-1.6,2.5,CSA
Vanderlei,9,0.0,22.89,Santos
Walter,9,0.0,5.0,Goiás
Enderson Moreira,9,3.05,10.6,Ceará
Marcos Rocha,9,15.4,18.99,Palmeiras
Maicon,9,1.2,6.16,Atlético-MG
Werley,9,0.0,0.75,Vasco
Ganso,9,6.2,8.78,Fluminense
D'Alessandro,9,8.2,8.08,Internacional
Wellington,9,-3.3,0.75,Athlético-PR
Willian Farias,9,0.0,3.0,São Paulo
Rodolfo,9,0.0,2.22,Fluminense
Alan Ruschel,9,0.0,5.57,Chapecoense
Carlinhos,9,10.1,6.82,Fortaleza
Douglas,9,1.1,2.25,Chapecoense
Jucilei,9,0.0,8.0,São Paulo
Moisés,9,-0.3,5.57,Palmeiras
Didira,9,0.9,6.04,CSA
Edenílson,9,2.6,8.79,Internacional
Luan,9,7.1,8.8,Atlético-MG
Everaldo,9,9.4,17.73,Chapecoense
Rodrigo Moledo,9,0.0,7.09,Internacional
Dedé,9,-1.4,14.72,Cruzeiro
André,9,-1.8,8.46,Grêmio
Bergson,9,0.0,4.48,Ceará
Edílson,9,0.0,6.2,Cruzeiro
Rafael Galhardo,9,0.0,3.0,Grêmio
Bruno Silva,9,0.0,9.58,Fluminense
Paulo Miranda,9,0.0,5.0,Grêmio
Rithely,9,0.0,5.23,Internacional
