ID;Data_Confronto;Rodada;Time_Casa;Time_Visitante;Gol_1;Gol_2;Razao_Vitoria_Time_Casa;Razao_Vitoria_Time_Visitante;Razao_Derrota_Time_Casa;Razao_Derrota_Time_Visitante;Razao_Empate_Time_Casa;Razao_Empate_Time_Visitante;Media_Gols_Time_Casa;Media_Gols_Time_Visitante;Media_Gols_Sofrido_Time_Casa;Media_Gols_Sofrido_Time_Visitante;Exp_Gols_Mandante_Final;Exp_Gols_Visitante_Final;Forma_Mandante;Forma_Visitante;Elo_Mandante;Elo_Visitante;Exp_Vitoria;Tipo_Vencedor;Vencedor
410;2014-05-10;4;botafogo-rj;criciúma;6;0;0.4146;0.3415;0.3171;0.4878;0.2683;0.2683;1.3902;1.2439;1.1463;1.6098;2;0;2;11;993.6475;1000.395;M;M;botafogo-rj
411;2014-05-10;4;internacional;athlético-pr;2;1;0.3171;0.4634;0.2927;0.2683;0.3902;0.3902;1.3659;1.7073;1.3415;1.3171;1;1;14;5;993.97;1000.5825;E;M;internacional
412;2014-05-10;4;palmeiras;goiás;2;0;0.3333;0.439;0.6667;0.2683;0.0;0.0;1.3333;1.2195;2.0;1.0732;0;1;3;16;993.74;1004.645;V;M;palmeiras
413;2014-05-11;4;são paulo;corinthians;1;1;0.3659;0.3171;0.3902;0.2439;0.2439;0.2439;1.0976;0.7317;1.0488;0.5366;0;0;8;16;997.2875;1004.4175;E;E;empate
414;2014-05-11;4;bahia;vitória;1;1;0.3415;0.4146;0.3659;0.2927;0.2927;0.2927;1.0;1.5366;1.1463;1.3902;1;1;15;9;1005.33;1001.52;E;E;empate
415;2014-05-11;4;atlético-mg;cruzeiro;2;1;0.3659;0.6098;0.3171;0.1951;0.3171;0.3171;1.2195;2.0244;1.0;1.0;1;1;1;12;995.925;994.395;E;M;atlético-mg
416;2014-05-11;4;fluminense;flamengo;2;0;0.3415;0.3171;0.4146;0.3415;0.2439;0.2439;1.1707;1.1463;1.1951;1.2195;1;1;9;10;1003.185;995.5275;E;M;fluminense
417;2014-05-11;4;chapecoense;grêmio;1;2;0.0;0.4634;0.6667;0.2439;0.3333;0.0244;0.3333;1.0732;1.0;0.9024;0;0;1;9;999.52;1001.5125;E;V;grêmio
418;2014-05-11;4;figueirense;santos;0;2;0.0;0.3659;1.0;0.2683;0.0;0.0;0.0;1.2683;2.0;0.9512;0;2;0;4;1000.225;1000.295;V;V;santos
419;2014-05-11;4;coritiba;sport;0;1;0.2927;0.3333;0.3415;0.3333;0.3659;5.0;1.0732;1.3333;1.1463;1.3333;1;0;6;7;1000.3975;1006.59;M;V;sport
420;2014-05-14;5;goiás;botafogo-rj;2;0;0.4286;0.4286;0.2857;0.3095;0.2857;0.2857;1.1905;1.5;1.0952;1.119;1;0;9;10;1004.645;993.6475;M;M;goiás
421;2014-05-17;5;cruzeiro;coritiba;3;2;0.5952;0.2857;0.2143;0.3571;0.1905;0.1905;2.0;1.0476;1.0238;1.1429;2;0;7;1;994.395;1000.3975;M;M;cruzeiro
422;2014-05-18;5;athlético-pr;chapecoense;1;1;0.4524;0.0;0.2857;0.75;0.2619;2.75;1.6905;0.5;1.3333;1.25;2;0;1;0;1000.0825;1000.02;M;E;empate
423;2014-05-18;5;criciúma;internacional;0;0;0.3333;0.3333;0.5;0.2857;0.1667;0.1667;1.2143;1.381;1.7143;1.3333;1;1;6;16;1000.395;993.97;E;E;empate
424;2014-05-18;5;santos;atlético-mg;1;2;0.381;0.381;0.2619;0.3095;0.3571;0.3571;1.2857;1.2381;0.9286;1.0;1;0;12;11;999.295;996.925;M;V;atlético-mg
425;2014-05-18;5;corinthians;figueirense;0;1;0.3095;0.0;0.2381;1.0;0.4524;4.75;0.7381;0.0;0.5476;2.0;1;0;12;0;1003.4175;1001.225;M;V;figueirense
426;2014-05-18;5;grêmio;fluminense;1;0;0.4762;0.3571;0.2381;0.4048;0.2857;0.2857;1.0952;1.1905;0.9048;1.1667;1;0;14;14;1001.5125;1003.185;M;M;grêmio
427;2014-05-18;5;vitória;palmeiras;0;1;0.4048;0.5;0.2857;0.5;0.3095;3.25;1.5238;1.5;1.381;1.5;2;2;10;9;1001.02;994.24;E;V;palmeiras
428;2014-05-18;5;flamengo;são paulo;0;2;0.3095;0.3571;0.3571;0.381;0.3333;0.3333;1.119;1.0952;1.2381;1.0476;1;0;6;4;994.0275;998.7875;M;V;são paulo
429;2014-05-21;6;corinthians;athlético-pr;1;1;0.3023;0.4419;0.2558;0.2791;0.4419;0.4419;0.7209;1.6744;0.5581;1.3256;1;0;5;5;1002.9175;1000.5825;M;E;empate
430;2014-05-21;6;flamengo;bahia;1;1;0.3023;0.3333;0.3721;0.3571;0.3256;0.3333;1.093;1.0;1.2558;1.1429;1;1;3;12;994.0275;1005.33;E;E;empate
431;2014-05-21;6;coritiba;internacional;1;1;0.2791;0.3256;0.3721;0.2791;0.3488;0.3488;1.0698;1.3488;1.186;1.3023;1;1;1;12;1000.3975;993.97;E;E;empate
432;2014-05-21;6;criciúma;chapecoense;1;0;0.3256;0.0;0.4884;0.6;0.186;1.6;1.186;0.6;1.6744;1.2;1;1;6;3;1000.895;999.52;E;M;criciúma
433;2014-05-21;6;cruzeiro;sport;2;0;0.6047;0.5;0.2093;0.25;0.186;2.0;2.0233;1.25;1.0465;1.0;1;0;12;12;994.395;1006.59;M;M;cruzeiro
434;2014-05-21;6;fluminense;são paulo;5;2;0.3488;0.3721;0.4186;0.3721;0.2326;0.2326;1.1628;1.1163;1.1628;1.0233;1;1;6;10;1004.06;997.9125;E;M;fluminense
435;2014-05-21;6;grêmio;botafogo-rj;2;1;0.4884;0.4186;0.2326;0.3256;0.2791;0.2791;1.093;1.4651;0.8837;1.1395;1;0;16;6;1001.5125;993.6475;M;M;grêmio
436;2014-05-22;6;goiás;santos;2;2;0.4419;0.3721;0.2791;0.2791;0.2791;0.2791;1.2093;1.2791;1.0698;0.9535;1;0;12;7;1004.145;999.795;M;E;empate
437;2014-05-22;6;vitória;atlético-mg;2;3;0.3953;0.3953;0.3023;0.3023;0.3023;0.3023;1.4884;1.2558;1.3721;1.0;1;0;5;15;1000.02;997.925;M;V;atlético-mg
