"time";"ano";"rodada";"data_confronto";"local";"gol";"razao_vitoria";"razao_empate";"razao_derrota";"media_gols";"media_gols_sofridos";"expectativa_gols";"forma";"elo";"exp_vitoria";"tipo_vencedor";"vitoria";"vencedor";"pontos";"preco"
"bahia";2014;20;"2014-09-11";"F";1;0.2632;0.1930;0.3860;0.8421;1.0877;0.0000;4.0000;1003.5800;"M";"M";0;"cruzeiro";5.00;4.42
"atlético-mg";2014;20;"2014-09-11";"F";0;0.4035;0.4561;0.2807;1.2807;1.0000;0.0000;14.0000;996.4250;"M";"M";0;"corinthians";20.90;59.53
"coritiba";2014;21;"2014-09-13";"F";1;0.2759;0.2931;0.3793;1.0172;1.0862;0.0000;10.0000;999.1475;"M";"M";0;"santos";-0.50;24.51
"chapecoense";2014;21;"2014-09-13";"C";3;0.2500;0.2500;0.5000;0.6500;1.1500;0.0000;2.0000;1003.2700;"E";"M";1;"chapecoense";27.70;28.02
"santos";2014;21;"2014-09-13";"C";2;0.3793;0.2931;0.3276;1.2586;0.9655;1.0000;6.0000;996.5450;"M";"M";1;"santos";18.40;108.00
"sport";2014;21;"2014-09-13";"F";1;0.4500;0.2500;0.3500;0.9500;1.2000;0.0000;14.0000;1006.5900;"E";"M";0;"chapecoense";0.20;50.92
"palmeiras";2014;21;"2014-09-13";"F";0;0.3000;0.7500;0.5500;0.8000;1.2500;0.0000;11.0000;993.2400;"M";"M";0;"fluminense";3.70;22.14
"fluminense";2014;21;"2014-09-13";"C";3;0.3621;0.2586;0.3793;1.2931;1.1552;1.0000;6.0000;1005.5600;"M";"M";1;"fluminense";39.60;117.21
"são paulo";2014;21;"2014-09-14";"C";2;0.4310;0.2414;0.3276;1.2759;1.0690;1.0000;16.0000;1001.1625;"E";"M";1;"são paulo";6.70;7.02
"atlético-mg";2014;21;"2014-09-14";"C";0;0.3966;0.3103;0.2931;1.2586;1.0000;1.0000;7.0000;995.9250;"M";"E";0;"empate";22.30;59.95
"flamengo";2014;21;"2014-09-14";"C";1;0.3276;0.2931;0.3793;1.0172;1.2069;0.0000;3.0000;997.0275;"E";"M";1;"flamengo";28.50;81.22
"bahia";2014;21;"2014-09-14";"C";3;0.2586;0.3448;0.3966;0.8448;1.1034;0.0000;2.0000;1004.4550;"E";"M";1;"bahia";23.10;17.98
"criciúma";2014;21;"2014-09-14";"C";1;0.2931;0.2241;0.4828;1.0000;1.5345;1.0000;2.0000;1001.6450;"E";"M";1;"criciúma";0.00;0.00
"botafogo-rj";2014;21;"2014-09-14";"F";0;0.3966;0.3276;0.3621;1.3103;1.1034;1.0000;3.0000;989.6475;"E";"M";0;"internacional";-2.80;32.67
"internacional";2014;21;"2014-09-14";"C";2;0.3621;0.3276;0.3103;1.3103;1.2069;1.0000;3.0000;992.7200;"E";"M";1;"internacional";21.30;30.39
"vitória";2014;21;"2014-09-14";"F";0;0.3448;0.2931;0.3621;1.3448;1.3793;1.0000;11.0000;997.0200;"M";"M";0;"athlético-pr";-0.50;33.24
"corinthians";2014;21;"2014-09-14";"F";0;0.3448;0.2931;0.2069;0.8966;0.5862;0.0000;10.0000;1006.0425;"E";"M";0;"flamengo";16.40;102.17
"athlético-pr";2014;21;"2014-09-14";"C";2;0.4138;0.2931;0.2931;1.5517;1.3103;2.0000;2.0000;997.8325;"M";"M";1;"athlético-pr";24.60;44.52
"goiás";2014;21;"2014-09-14";"F";0;0.3966;0.2241;0.3103;1.0862;1.0862;1.0000;14.0000;1001.2700;"E";"M";0;"criciúma";0.00;0.00
"grêmio";2014;21;"2014-09-14";"F";0;0.4828;0.3103;0.2586;1.0345;0.8448;0.0000;18.0000;1001.0125;"M";"E";0;"empate";37.40;110.72
"figueirense";2014;21;"2014-09-14";"F";0;0.3500;1.0000;0.4500;0.9000;1.3000;0.0000;10.0000;1009.1000;"E";"M";0;"bahia";1.30;21.67
"cruzeiro";2014;21;"2014-09-14";"F";0;0.6379;0.2414;0.1724;2.0690;0.9655;1.0000;12.0000;993.8950;"E";"M";0;"são paulo";14.20;89.17
"coritiba";2014;22;"2014-09-17";"C";3;0.2712;0.3390;0.3898;1.0169;1.1017;1.0000;7.0000;999.8975;"E";"M";1;"coritiba";19.20;29.58
"flamengo";2014;22;"2014-09-17";"F";2;0.3390;0.0508;0.3729;1.0169;1.1864;0.0000;9.0000;997.0275;"E";"E";0;"empate";34.00;90.80
"criciúma";2014;22;"2014-09-17";"F";1;0.3051;0.0678;0.4746;1.0000;1.5085;1.0000;12.0000;1001.6450;"E";"E";0;"empate";0.00;0.00
"bahia";2014;22;"2014-09-17";"F";3;0.2712;0.2373;0.3898;0.8814;1.0847;0.0000;10.0000;1005.4550;"M";"V";1;"bahia";4.50;12.15
"athlético-pr";2014;22;"2014-09-17";"F";0;0.4237;0.1864;0.2881;1.5593;1.2881;1.0000;10.0000;997.8325;"M";"M";0;"cruzeiro";-1.00;53.27
"cruzeiro";2014;22;"2014-09-17";"C";2;0.6271;0.1864;0.1864;2.0339;0.9831;3.0000;7.0000;993.8950;"M";"M";1;"cruzeiro";47.40;121.79
"fluminense";2014;22;"2014-09-17";"F";1;0.3729;0.2881;0.3729;1.3220;1.1356;0.0000;10.0000;1005.5600;"M";"M";0;"vitória";17.30;110.53
"sport";2014;22;"2014-09-17";"C";0;0.4286;0.1905;0.3810;0.9524;1.2857;1.0000;6.0000;1006.0900;"M";"E";0;"empate";27.20;67.78
"vitória";2014;22;"2014-09-17";"C";3;0.3390;0.2881;0.3729;1.3220;1.3898;1.0000;6.0000;997.0200;"M";"M";1;"vitória";14.80;31.38
"botafogo-rj";2014;22;"2014-09-17";"C";2;0.3898;0.2373;0.3729;1.2881;1.1186;1.0000;0.0000;988.6475;"M";"V";0;"bahia";24.30;50.72
"internacional";2014;22;"2014-09-17";"F";0;0.3729;0.0678;0.3051;1.3220;1.1864;0.0000;9.0000;993.2200;"M";"E";0;"empate";30.40;64.91
"são paulo";2014;22;"2014-09-17";"F";1;0.4407;0.3390;0.3220;1.2881;1.0508;1.0000;18.0000;1000.4125;"E";"M";0;"coritiba";3.80;28.05
"figueirense";2014;22;"2014-09-17";"C";1;0.3333;0.1905;0.4762;0.8571;1.3810;1.0000;5.0000;1009.1000;"E";"E";0;"empate";17.00;29.34
"palmeiras";2014;22;"2014-09-17";"C";2;0.2857;0.1429;0.5714;0.7619;1.3333;0.0000;7.0000;993.2400;"E";"E";0;"empate";2.90;28.02
"chapecoense";2014;22;"2014-09-18";"F";1;0.2857;1.2381;0.4762;0.7619;1.1429;0.0000;10.0000;1003.7700;"M";"E";0;"empate";8.20;20.19
"santos";2014;22;"2014-09-18";"F";0;0.3898;0.2712;0.3220;1.2712;0.9661;0.0000;12.0000;997.0450;"M";"E";0;"empate";36.20;100.36
"atlético-mg";2014;22;"2014-09-18";"F";3;0.3898;0.2881;0.2881;1.2373;0.9831;0.0000;6.0000;996.9250;"M";"V";1;"atlético-mg";21.40;59.04
"goiás";2014;22;"2014-09-18";"C";2;0.3898;0.2881;0.3220;1.0678;1.0847;1.0000;7.0000;1000.2700;"M";"V";0;"atlético-mg";0.00;0.00
"grêmio";2014;22;"2014-09-18";"C";0;0.4746;0.2712;0.2542;1.0169;0.8305;1.0000;12.0000;1000.5125;"M";"E";0;"empate";26.90;95.17
"corinthians";2014;22;"2014-09-18";"C";1;0.3390;0.4407;0.2203;0.8814;0.5932;1.0000;7.0000;1005.5425;"M";"E";0;"empate";10.30;62.53
"internacional";2014;23;"2014-09-20";"F";1;0.3667;0.2833;0.3000;1.3000;1.1667;0.0000;9.0000;994.2200;"M";"V";1;"internacional";44.80;79.28
"criciúma";2014;23;"2014-09-20";"C";1;0.3000;0.2333;0.4667;1.0000;1.5000;1.0000;9.0000;1001.6450;"E";"E";0;"empate";0.00;0.00
"botafogo-rj";2014;23;"2014-09-20";"F";1;0.3833;0.2333;0.3833;1.3000;1.1500;1.0000;0.0000;988.6475;"E";"E";0;"empate";-3.00;20.25
"athlético-pr";2014;23;"2014-09-20";"C";0;0.4167;0.2833;0.3000;1.5333;1.3000;1.0000;6.0000;996.8325;"M";"V";0;"internacional";4.70;40.89
"fluminense";2014;23;"2014-09-21";"F";1;0.3667;0.3000;0.3833;1.3167;1.1667;0.0000;7.0000;1006.0600;"M";"E";0;"empate";13.60;91.59
"atlético-mg";2014;23;"2014-09-21";"F";3;0.4000;0.1833;0.2833;1.2667;1.0000;0.0000;9.0000;997.9250;"M";"V";1;"atlético-mg";19.10;61.35
"flamengo";2014;23;"2014-09-21";"C";1;0.3333;0.3000;0.3667;1.0333;1.2000;1.0000;9.0000;996.5275;"M";"E";0;"empate";28.80;87.78
"figueirense";2014;23;"2014-09-21";"F";1;0.3182;0.8182;0.4545;0.8636;1.3636;0.0000;4.0000;1009.1000;"M";"M";0;"santos";22.20;30.57
"cruzeiro";2014;23;"2014-09-21";"C";2;0.6333;0.1833;0.1833;2.0333;0.9667;2.0000;12.0000;992.8950;"M";"V";0;"atlético-mg";56.90;112.92
"santos";2014;23;"2014-09-21";"C";3;0.3833;0.3000;0.3167;1.2500;0.9500;1.0000;9.0000;997.0450;"M";"M";1;"santos";45.60;66.70
"bahia";2014;23;"2014-09-21";"F";1;0.2833;0.2833;0.3833;0.9167;1.1000;1.0000;15.0000;1004.9550;"E";"M";0;"vitória";8.30;12.94
"coritiba";2014;23;"2014-09-21";"F";0;0.2833;0.0833;0.3833;1.0500;1.1000;0.0000;12.0000;999.8975;"M";"M";0;"sport";-0.10;16.35
"chapecoense";2014;23;"2014-09-21";"F";0;0.2727;0.7727;0.4545;0.7727;1.1364;0.0000;9.0000;1003.7700;"M";"M";0;"grêmio";9.90;20.52
"são paulo";2014;23;"2014-09-21";"F";2;0.4333;0.4500;0.3333;1.2833;1.0833;0.0000;9.0000;999.9125;"E";"M";0;"corinthians";0.90;6.27
"goiás";2014;23;"2014-09-21";"C";6;0.3833;0.2833;0.3333;1.0833;1.1167;1.0000;3.0000;1000.2700;"M";"M";1;"goiás";0.00;0.00
"grêmio";2014;23;"2014-09-21";"C";1;0.4667;0.2833;0.2500;1.0000;0.8167;1.0000;8.0000;1000.5125;"M";"M";1;"grêmio";35.20;77.47
"vitória";2014;23;"2014-09-21";"C";2;0.3500;0.2833;0.3667;1.3500;1.3833;1.0000;12.0000;997.5200;"E";"M";1;"vitória";15.20;26.95
"corinthians";2014;23;"2014-09-21";"C";3;0.3333;0.4500;0.2167;0.8833;0.6000;0.0000;6.0000;1006.0425;"E";"M";1;"corinthians";31.40;65.81
"sport";2014;23;"2014-09-21";"C";1;0.4091;0.2273;0.3636;0.9091;1.2273;1.0000;6.0000;1006.0900;"M";"M";1;"sport";45.50;71.27
"palmeiras";2014;23;"2014-09-21";"F";0;0.2727;0.7727;0.5455;0.8182;1.3636;0.0000;6.0000;993.2400;"M";"M";0;"goiás";-0.50;27.53
"chapecoense";2014;24;"2014-09-24";"C";3;0.2609;0.2609;0.4783;0.7391;1.1304;1.0000;5.0000;1003.7700;"M";"M";1;"chapecoense";38.60;28.78
"internacional";2014;24;"2014-09-24";"C";3;0.3770;0.3279;0.2951;1.2951;1.1475;2.0000;14.0000;994.2200;"M";"M";1;"internacional";30.10;70.78
"fluminense";2014;24;"2014-09-24";"C";0;0.3607;0.2623;0.3770;1.3115;1.1639;1.0000;6.0000;1005.5600;"M";"E";0;"empate";16.00;104.68
"criciúma";2014;24;"2014-09-24";"F";0;0.2951;0.3279;0.4590;1.0000;1.4918;0.0000;8.0000;1001.6450;"M";"M";0;"internacional";0.00;0.00
"são paulo";2014;24;"2014-09-24";"C";2;0.4262;0.2295;0.3443;1.2951;1.1148;1.0000;3.0000;999.4125;"M";"E";0;"empate";4.70;43.16
"corinthians";2014;24;"2014-09-24";"F";0;0.3443;0.0820;0.2131;0.9180;0.6230;0.0000;11.0000;1005.5425;"E";"M";0;"figueirense";6.80;82.08
"cruzeiro";2014;24;"2014-09-24";"F";2;0.6230;0.3279;0.1967;2.0328;1.0000;1.0000;6.0000;993.3950;"E";"V";1;"cruzeiro";13.40;110.21
"grêmio";2014;24;"2014-09-24";"F";0;0.4754;0.2623;0.2459;1.0000;0.8033;0.0000;10.0000;1001.0125;"M";"E";0;"empate";24.40;73.95
"figueirense";2014;24;"2014-09-24";"C";1;0.3043;0.2174;0.4783;0.8696;1.4348;0.0000;2.0000;1009.6000;"E";"M";1;"figueirense";12.50;29.49
"coritiba";2014;24;"2014-09-24";"C";1;0.2787;0.3279;0.3934;1.0328;1.0984;1.0000;6.0000;999.3975;"E";"V";0;"cruzeiro";-0.20;6.89
"bahia";2014;24;"2014-09-24";"C";1;0.2787;0.3279;0.3934;0.9180;1.1148;1.0000;9.0000;1004.9550;"M";"M";1;"bahia";8.50;13.24
"sport";2014;24;"2014-09-24";"F";0;0.4348;0.8696;0.3478;0.9130;1.1739;0.0000;9.0000;1006.0900;"M";"M";0;"bahia";-0.70;41.68
"athlético-pr";2014;24;"2014-09-24";"F";0;0.4098;0.0984;0.3115;1.5082;1.2951;0.0000;5.0000;996.8325;"M";"M";0;"chapecoense";6.10;38.72
"flamengo";2014;24;"2014-09-24";"F";2;0.3279;0.2295;0.3607;1.0328;1.1967;0.0000;6.0000;997.0275;"M";"E";0;"empate";25.00;88.01
"atlético-mg";2014;24;"2014-09-25";"C";3;0.4098;0.3115;0.2787;1.2951;1.0164;1.0000;16.0000;997.9250;"M";"M";1;"atlético-mg";14.10;65.82
"palmeiras";2014;24;"2014-09-25";"C";2;0.2609;0.1739;0.5652;0.7826;1.5652;1.0000;2.0000;993.9900;"E";"M";1;"palmeiras";30.70;29.64
"botafogo-rj";2014;24;"2014-09-25";"C";1;0.3770;0.2459;0.3770;1.2951;1.1475;1.0000;3.0000;988.6475;"M";"M";1;"botafogo-rj";12.00;51.08
"santos";2014;24;"2014-09-25";"F";2;0.3934;0.3115;0.3115;1.2787;0.9508;0.0000;12.0000;997.0450;"M";"M";0;"atlético-mg";45.80;118.95
"vitória";2014;24;"2014-09-25";"F";0;0.3607;0.0656;0.3607;1.3607;1.3770;1.0000;15.0000;996.7700;"E";"M";0;"palmeiras";5.10;25.48
"goiás";2014;24;"2014-09-25";"F";0;0.3934;0.2459;0.3279;1.1639;1.0984;0.0000;9.0000;1000.2700;"M";"M";0;"botafogo-rj";0.00;0.00
"cruzeiro";2014;25;"2014-09-27";"F";0;0.6290;0.0806;0.1935;2.0323;1.0000;1.0000;12.0000;993.3950;"E";"E";0;"empate";27.40;110.32
"criciúma";2014;25;"2014-09-27";"F";1;0.2903;0.0968;0.4677;0.9839;1.5161;0.0000;1.0000;1002.1450;"M";"E";0;"empate";0.00;0.00
"são paulo";2014;25;"2014-09-27";"C";1;0.4194;0.2419;0.3387;1.3065;1.1290;1.0000;3.0000;997.9125;"M";"V";0;"fluminense";-1.50;36.18
"sport";2014;25;"2014-09-27";"C";0;0.4167;0.2083;0.3750;0.8750;1.1667;1.0000;7.0000;1006.0900;"E";"E";0;"empate";37.90;70.53
"fluminense";2014;25;"2014-09-27";"F";3;0.3548;0.2419;0.3710;1.2903;1.1452;0.0000;3.0000;1007.0600;"M";"V";1;"fluminense";56.90;130.85
"chapecoense";2014;25;"2014-09-27";"C";1;0.2917;0.2500;0.4583;0.8333;1.0833;1.0000;10.0000;1003.2700;"M";"E";0;"empate";1.70;25.68
"palmeiras";2014;25;"2014-09-28";"F";1;0.2917;0.2083;0.5417;0.8333;1.5000;0.0000;10.0000;993.9900;"M";"M";0;"figueirense";-0.40;26.02
"grêmio";2014;25;"2014-09-28";"F";2;0.4677;0.2419;0.2419;0.9839;0.7903;0.0000;10.0000;1002.5125;"M";"V";1;"grêmio";55.70;107.26
"botafogo-rj";2014;25;"2014-09-28";"C";0;0.3871;0.2419;0.3710;1.2903;1.1290;1.0000;11.0000;987.1475;"M";"V";0;"grêmio";25.30;58.17
"vitória";2014;25;"2014-09-28";"F";0;0.3548;0.3065;0.3710;1.3387;1.3871;0.0000;9.0000;996.7700;"M";"M";0;"atlético-mg";6.70;30.55
"flamengo";2014;25;"2014-09-28";"F";1;0.3226;0.3226;0.3548;1.0484;1.2097;0.0000;4.0000;996.5275;"E";"M";0;"bahia";31.40;90.10
"figueirense";2014;25;"2014-09-28";"C";3;0.3333;0.2083;0.4583;0.8750;1.3750;1.0000;10.0000;1009.6000;"M";"M";1;"figueirense";26.90;32.33
"athlético-pr";2014;25;"2014-09-28";"C";1;0.4032;0.2742;0.3226;1.4839;1.3226;0.0000;0.0000;997.3325;"E";"M";1;"athlético-pr";31.80;57.33
"bahia";2014;25;"2014-09-28";"C";2;0.2903;0.3226;0.3871;0.9194;1.0968;0.0000;12.0000;1005.4550;"E";"M";1;"bahia";15.40;10.07
"atlético-mg";2014;25;"2014-09-28";"C";2;0.4194;0.3065;0.2742;1.3226;1.0323;2.0000;18.0000;997.9250;"M";"M";1;"atlético-mg";47.90;68.80
"coritiba";2014;25;"2014-09-28";"F";2;0.2742;0.3226;0.4032;1.0323;1.1129;0.0000;3.0000;999.3975;"M";"M";0;"internacional";16.50;29.84
"goiás";2014;25;"2014-09-28";"F";0;0.3871;0.2903;0.3387;1.1452;1.0968;0.0000;6.0000;1000.2700;"M";"M";0;"santos";0.00;0.00
"corinthians";2014;25;"2014-09-28";"F";0;0.3387;0.2742;0.2258;0.9032;0.6290;0.0000;7.0000;1005.0425;"E";"M";0;"athlético-pr";-3.30;118.40
"santos";2014;25;"2014-09-28";"C";2;0.3871;0.2903;0.3226;1.2903;0.9839;1.0000;7.0000;997.0450;"M";"M";1;"santos";42.70;91.70
"internacional";2014;25;"2014-09-28";"C";4;0.3871;0.3226;0.2903;1.3226;1.1290;1.0000;16.0000;994.2200;"M";"M";1;"internacional";19.70;47.13
"chapecoense";2014;26;"2014-10-02";"F";2;0.2800;0.1600;0.4400;0.8400;1.0800;0.0000;9.0000;1003.2700;"M";"M";0;"palmeiras";0.00;0.00
"palmeiras";2014;26;"2014-10-02";"C";4;0.2800;0.1600;0.5600;0.8400;1.5600;1.0000;6.0000;993.9900;"M";"M";1;"palmeiras";0.00;0.00
"flamengo";2014;26;"2014-10-04";"C";0;0.3175;0.3175;0.3651;1.0476;1.2222;1.0000;3.0000;996.0275;"E";"V";0;"santos";-1.50;71.05
"internacional";2014;26;"2014-10-04";"F";1;0.3968;0.1905;0.2857;1.3651;1.1429;0.0000;18.0000;994.2200;"M";"M";0;"cruzeiro";12.40;67.82
"bahia";2014;26;"2014-10-04";"F";1;0.3016;0.2698;0.3810;0.9365;1.0952;1.0000;15.0000;1005.4550;"E";"E";0;"empate";-2.30;14.66
"santos";2014;26;"2014-10-04";"F";1;0.3968;0.3175;0.3175;1.3016;0.9683;1.0000;14.0000;997.5450;"E";"V";1;"santos";56.50;91.88
"athlético-pr";2014;26;"2014-10-04";"F";0;0.4127;0.3175;0.3175;1.4762;1.3016;1.0000;9.0000;996.8325;"E";"M";0;"coritiba";10.70;49.47
"goiás";2014;26;"2014-10-04";"C";1;0.3810;0.2698;0.3492;1.1270;1.1111;1.0000;3.0000;1000.2700;"M";"M";1;"goiás";0.00;0.00
"vitória";2014;26;"2014-10-04";"C";2;0.3492;0.2698;0.3810;1.3175;1.3968;1.0000;3.0000;997.2700;"E";"M";1;"vitória";-0.20;23.41
"sport";2014;26;"2014-10-04";"F";0;0.4000;1.0800;0.3600;0.8400;1.1200;0.0000;6.0000;1006.0900;"M";"M";0;"corinthians";4.00;56.54
"coritiba";2014;26;"2014-10-04";"C";1;0.2698;0.3175;0.4127;1.0476;1.1587;1.0000;0.0000;999.8975;"E";"M";1;"coritiba";13.20;29.68
"botafogo-rj";2014;26;"2014-10-04";"F";1;0.3810;0.2698;0.3810;1.2698;1.1429;1.0000;7.0000;986.6475;"E";"M";0;"vitória";8.50;32.86
"cruzeiro";2014;26;"2014-10-04";"C";2;0.6190;0.1905;0.1905;2.0000;0.9841;2.0000;9.0000;993.3950;"M";"M";1;"cruzeiro";33.20;123.55
"figueirense";2014;26;"2014-10-04";"F";0;0.3600;0.6800;0.4400;0.9600;1.3600;0.0000;15.0000;1009.6000;"M";"M";0;"goiás";-2.90;21.50
"são paulo";2014;26;"2014-10-04";"F";1;0.4127;0.2857;0.3492;1.3016;1.1587;0.0000;2.0000;998.9125;"M";"V";1;"são paulo";10.70;31.26
"atlético-mg";2014;26;"2014-10-04";"F";1;0.4286;0.2540;0.2698;1.3333;1.0159;1.0000;18.0000;997.1750;"E";"M";0;"criciúma";9.00;66.97
"fluminense";2014;26;"2014-10-04";"C";1;0.3651;0.2698;0.3651;1.3175;1.1429;1.0000;12.0000;1007.0600;"E";"E";0;"empate";15.00;108.66
"criciúma";2014;26;"2014-10-04";"C";3;0.2857;0.2540;0.4603;0.9841;1.5079;1.0000;4.0000;1002.8950;"E";"M";1;"criciúma";0.00;0.00
"corinthians";2014;26;"2014-10-04";"C";3;0.3333;0.4286;0.2381;0.8889;0.6349;1.0000;3.0000;1005.0425;"M";"M";1;"corinthians";55.80;99.82
"grêmio";2014;26;"2014-10-04";"C";0;0.4762;0.2857;0.2381;1.0000;0.7778;1.0000;14.0000;1001.5125;"M";"V";0;"são paulo";14.70;80.68
"criciúma";2014;27;"2014-10-08";"F";0;0.2969;0.3125;0.4531;1.0156;1.5000;0.0000;9.0000;1002.8950;"M";"M";0;"coritiba";0.00;0.00
"flamengo";2014;27;"2014-10-08";"F";2;0.3125;0.0781;0.3750;1.0312;1.2188;1.0000;1.0000;996.5275;"E";"V";1;"flamengo";26.60;80.04
"athlético-pr";2014;27;"2014-10-08";"F";0;0.4062;0.2344;0.3281;1.4531;1.2969;1.0000;6.0000;996.3325;"E";"M";0;"são paulo";-1.80;21.75
"figueirense";2014;27;"2014-10-08";"C";1;0.3462;0.1923;0.4615;0.9231;1.3462;1.0000;9.0000;1009.1000;"E";"V";0;"flamengo";-2.10;19.73
"goiás";2014;27;"2014-10-08";"F";2;0.3906;0.2656;0.3438;1.1250;1.0938;0.0000;9.0000;1000.7700;"M";"E";0;"empate";0.00;0.00
"vitória";2014;27;"2014-10-08";"C";2;0.3594;0.2656;0.3750;1.3281;1.3906;1.0000;9.0000;996.7700;"M";"E";0;"empate";-3.30;23.31
"cruzeiro";2014;27;"2014-10-08";"C";0;0.6250;0.1875;0.1875;2.0000;0.9844;1.0000;14.0000;992.3950;"M";"V";0;"corinthians";0.70;89.30
"grêmio";2014;27;"2014-10-08";"C";2;0.4688;0.2812;0.2500;0.9844;0.7812;1.0000;7.0000;1001.5125;"M";"M";1;"grêmio";45.40;93.17
"coritiba";2014;27;"2014-10-08";"C";1;0.2812;0.3125;0.4062;1.0469;1.1406;1.0000;9.0000;999.8975;"M";"M";1;"coritiba";14.60;29.85
"sport";2014;27;"2014-10-08";"F";0;0.3846;0.6923;0.3846;0.8077;1.1923;0.0000;0.0000;1006.0900;"M";"M";0;"grêmio";14.80;52.65
"corinthians";2014;27;"2014-10-08";"F";1;0.3438;0.1875;0.2344;0.9219;0.6250;0.0000;11.0000;1006.0425;"M";"V";1;"corinthians";43.10;93.34
"palmeiras";2014;27;"2014-10-08";"F";1;0.3077;0.5769;0.5385;0.9615;1.5769;0.0000;12.0000;994.9900;"M";"V";1;"palmeiras";39.10;67.65
"são paulo";2014;27;"2014-10-08";"C";1;0.4219;0.2344;0.3438;1.2969;1.1406;1.0000;10.0000;999.4125;"E";"M";1;"são paulo";21.10;48.22
"botafogo-rj";2014;27;"2014-10-08";"C";0;0.3750;0.2344;0.3906;1.2656;1.1562;2.0000;3.0000;985.6475;"M";"V";0;"palmeiras";16.40;36.88
"atlético-mg";2014;27;"2014-10-09";"F";0;0.4219;0.2812;0.2812;1.3281;1.0469;0.0000;9.0000;997.6750;"M";"E";0;"empate";15.30;70.27
"santos";2014;27;"2014-10-09";"C";1;0.4062;0.2812;0.3125;1.2969;0.9531;1.0000;15.0000;997.5450;"M";"M";1;"santos";64.60;86.50
"fluminense";2014;27;"2014-10-09";"C";0;0.3594;0.2812;0.3594;1.3125;1.1406;1.0000;10.0000;1006.5600;"M";"E";0;"empate";23.30;97.88
"chapecoense";2014;27;"2014-10-09";"C";5;0.2692;0.2692;0.4615;0.8846;1.1923;0.0000;5.0000;1004.2700;"E";"M";1;"chapecoense";48.70;33.84
"internacional";2014;27;"2014-10-09";"F";0;0.3906;0.1094;0.2969;1.3594;1.1562;0.0000;9.0000;993.2200;"E";"M";0;"chapecoense";0.70;57.05
"bahia";2014;27;"2014-10-09";"F";0;0.2969;0.2812;0.3750;0.9375;1.0938;0.0000;12.0000;1005.4550;"M";"M";0;"santos";7.40;12.78
"corinthians";2014;28;"2014-10-11";"F";0;0.3538;0.2308;0.2308;0.9231;0.6154;0.0000;15.0000;1005.5425;"E";"M";0;"botafogo-rj";19.60;101.68
"botafogo-rj";2014;28;"2014-10-11";"C";1;0.3692;0.2308;0.4000;1.2462;1.1538;0.0000;0.0000;986.1475;"E";"M";1;"botafogo-rj";25.60;30.22
"coritiba";2014;28;"2014-10-11";"F";0;0.2923;0.2769;0.4000;1.0462;1.1231;0.0000;15.0000;999.8975;"M";"M";0;"goiás";1.30;16.75
"palmeiras";2014;28;"2014-10-11";"C";2;0.3333;0.1481;0.5185;0.9630;1.5185;0.0000;15.0000;995.4900;"E";"M";1;"palmeiras";28.10;57.41
"grêmio";2014;28;"2014-10-11";"F";1;0.4769;0.0615;0.2462;1.0000;0.7692;0.0000;12.0000;1001.0125;"E";"M";0;"palmeiras";-8.00;59.58
"goiás";2014;28;"2014-10-11";"C";3;0.3846;0.2769;0.3385;1.1385;1.1077;1.0000;9.0000;1000.7700;"M";"M";1;"goiás";0.00;0.00
"atlético-mg";2014;28;"2014-10-12";"C";1;0.4154;0.3077;0.2769;1.3077;1.0308;1.0000;6.0000;997.6750;"M";"M";1;"atlético-mg";36.10;51.90
"santos";2014;28;"2014-10-12";"F";0;0.4154;0.2462;0.3077;1.2923;0.9385;1.0000;18.0000;996.6700;"E";"M";0;"criciúma";19.40;83.75
"fluminense";2014;28;"2014-10-12";"F";1;0.3538;0.3077;0.3538;1.2923;1.1231;1.0000;6.0000;1006.0600;"E";"M";0;"internacional";25.00;124.53
"flamengo";2014;28;"2014-10-12";"C";3;0.3231;0.3077;0.3692;1.0462;1.2154;0.0000;9.0000;998.2775;"V";"M";1;"flamengo";42.00;78.30
"athlético-pr";2014;28;"2014-10-12";"C";3;0.4000;0.2615;0.3385;1.4308;1.2923;1.0000;3.0000;996.3325;"M";"M";1;"athlético-pr";25.80;41.30
"chapecoense";2014;28;"2014-10-12";"F";1;0.2963;0.7778;0.4444;1.0370;1.1481;0.0000;12.0000;1005.2700;"M";"V";1;"chapecoense";30.60;36.77
"bahia";2014;28;"2014-10-12";"C";0;0.2923;0.3231;0.3846;0.9231;1.0923;1.0000;5.0000;1004.4550;"M";"V";0;"chapecoense";4.10;15.60
"sport";2014;28;"2014-10-12";"C";1;0.3704;0.2222;0.4074;0.7778;1.2222;1.0000;1.0000;1005.0900;"M";"V";0;"vitória";4.00;59.80
"figueirense";2014;28;"2014-10-12";"F";0;0.3333;0.6296;0.4815;0.9259;1.3704;0.0000;3.0000;1009.1000;"M";"M";0;"athlético-pr";0.40;13.25
"vitória";2014;28;"2014-10-12";"F";2;0.3538;0.0923;0.3692;1.3385;1.4000;0.0000;9.0000;997.7700;"M";"V";1;"vitória";4.80;28.23
"internacional";2014;28;"2014-10-12";"C";2;0.3846;0.3077;0.3077;1.3385;1.2154;1.0000;3.0000;993.7200;"E";"M";1;"internacional";12.40;38.10
"cruzeiro";2014;28;"2014-10-12";"F";0;0.6154;0.3077;0.2000;1.9692;0.9846;1.0000;7.0000;990.6450;"V";"M";0;"flamengo";12.60;99.64
