"time";"ano";"rodada";"data_confronto";"local";"gol";"razao_vitoria";"razao_empate";"razao_derrota";"media_gols";"media_gols_sofridos";"expectativa_gols";"forma";"elo";"exp_vitoria";"tipo_vencedor";"vitoria";"vencedor";"pontos";"preco"
"grêmio";2014;2;"2014-04-27";"C";2;0.4615;0.2821;0.2564;1.0769;0.9231;1.0000;5.0000;1000.5125;"M";"M";1;"grêmio";1.20;30.26
"são paulo";2014;2;"2014-04-27";"F";1;0.3846;0.1795;0.4103;1.0769;1.0256;0.0000;11.0000;997.7875;"M";"E";0;"empate";11.00;67.66
"cruzeiro";2014;2;"2014-04-27";"C";1;0.6154;0.1795;0.2051;2.0256;0.9744;1.0000;11.0000;994.3950;"M";"E";0;"empate";16.20;89.15
"figueirense";2014;2;"2014-04-27";"C";0;0.0000;0.0000;1.0000;0.0000;3.0000;0.0000;0.0000;1000.2250;"E";"V";0;"bahia";0.80;10.39
"atlético-mg";2014;2;"2014-04-27";"F";1;0.3846;0.2821;0.2821;1.2564;0.9744;0.0000;6.0000;996.4250;"M";"M";0;"grêmio";22.20;97.05
"são paulo";2014;3;"2014-05-03";"C";2;0.3750;0.2250;0.4000;1.0750;1.0250;1.0000;9.0000;997.2875;"M";"E";0;"empate";14.00;63.80
"fluminense";2014;3;"2014-05-03";"C";1;0.3500;0.2500;0.4000;1.1750;1.1750;1.0000;18.0000;1002.4350;"E";"V";0;"vitória";20.40;134.12
"santos";2014;3;"2014-05-03";"C";0;0.3750;0.3500;0.2750;1.3000;0.9750;1.0000;8.0000;1000.2950;"M";"E";0;"empate";15.90;93.91
"coritiba";2014;3;"2014-05-03";"F";2;0.3000;0.2250;0.3500;1.0500;1.1250;0.0000;6.0000;1001.3975;"M";"E";0;"empate";9.30;15.77
"athlético-pr";2014;3;"2014-05-03";"C";2;0.4750;0.2750;0.2500;1.7000;1.2750;1.0000;12.0000;1001.0825;"E";"V";0;"cruzeiro";5.30;46.84
"grêmio";2014;3;"2014-05-03";"F";0;0.4750;0.3500;0.2500;1.1000;0.9250;0.0000;12.0000;1001.0125;"M";"E";0;"empate";36.50;72.53
"vitória";2014;3;"2014-05-03";"F";2;0.4000;0.2500;0.3000;1.5250;1.4000;1.0000;4.0000;1001.5200;"E";"V";1;"vitória";32.40;47.95
"cruzeiro";2014;3;"2014-05-03";"F";3;0.6000;0.2750;0.2000;2.0000;0.9750;1.0000;10.0000;994.8950;"E";"V";1;"cruzeiro";14.70;54.63
"bahia";2014;3;"2014-05-04";"C";1;0.3250;0.3000;0.3750;1.0000;1.1750;1.0000;9.0000;1005.3300;"E";"M";1;"bahia";0.00;0.00
"criciúma";2014;3;"2014-05-04";"C";1;0.3250;0.1750;0.5000;1.2500;1.6500;2.0000;0.0000;1000.3950;"M";"M";1;"criciúma";0.00;0.00
"botafogo-rj";2014;3;"2014-05-04";"F";0;0.4250;0.3000;0.3000;1.4250;1.1500;1.0000;6.0000;993.6475;"E";"M";0;"bahia";10.40;53.41
"palmeiras";2014;3;"2014-05-04";"F";2;0.5000;7.0000;0.5000;1.0000;1.0000;2.0000;9.0000;992.2400;"V";"M";0;"flamengo";22.30;62.14
"corinthians";2014;3;"2014-05-04";"F";1;0.3000;0.0250;0.2500;0.7250;0.5500;0.0000;11.0000;1004.4175;"E";"V";1;"corinthians";30.40;98.04
"atlético-mg";2014;3;"2014-05-04";"C";0;0.3750;0.3250;0.3000;1.2500;1.0000;1.0000;3.0000;995.4250;"M";"V";0;"goiás";13.90;85.37
"internacional";2014;3;"2014-05-04";"C";2;0.3000;0.4000;0.3000;1.3500;1.3500;1.0000;10.0000;993.4700;"E";"M";1;"internacional";7.10;64.77
"figueirense";2014;3;"2014-05-04";"F";0;0.0000;3.5000;1.0000;0.0000;2.5000;0.0000;0.0000;1000.2250;"M";"M";0;"criciúma";-1.00;3.64
"flamengo";2014;3;"2014-05-04";"C";4;0.3000;0.3500;0.3500;1.0750;1.2000;0.0000;3.0000;996.2775;"V";"M";1;"flamengo";49.00;59.78
"goiás";2014;3;"2014-05-04";"F";1;0.4250;0.3250;0.2750;1.2250;1.1000;0.0000;11.0000;1006.1450;"M";"V";1;"goiás";0.00;0.00
"chapecoense";2014;3;"2014-05-04";"C";0;0.0000;0.5000;0.5000;0.5000;1.0000;0.0000;3.0000;1000.0200;"E";"V";0;"corinthians";0.90;12.97
"sport";2014;3;"2014-05-04";"F";1;0.5000;8.0000;0.0000;1.5000;1.0000;1.0000;10.0000;1005.5900;"E";"M";0;"internacional";27.10;49.19
"botafogo-rj";2014;4;"2014-05-10";"C";6;0.4146;0.2683;0.3171;1.3902;1.1463;2.0000;2.0000;993.6475;"M";"M";1;"botafogo-rj";81.90;78.11
"goiás";2014;4;"2014-05-10";"F";0;0.4390;0.0000;0.2683;1.2195;1.0732;1.0000;16.0000;1004.6450;"V";"M";0;"palmeiras";0.00;0.00
"palmeiras";2014;4;"2014-05-10";"C";2;0.3333;0.0000;0.6667;1.3333;2.0000;0.0000;3.0000;993.7400;"V";"M";1;"palmeiras";25.70;46.48
"athlético-pr";2014;4;"2014-05-10";"F";1;0.4634;0.3902;0.2683;1.7073;1.3171;1.0000;5.0000;1000.5825;"E";"M";0;"internacional";14.80;43.45
"internacional";2014;4;"2014-05-10";"C";2;0.3171;0.3902;0.2927;1.3659;1.3415;1.0000;14.0000;993.9700;"E";"M";1;"internacional";8.20;57.08
"criciúma";2014;4;"2014-05-10";"F";0;0.3415;0.2683;0.4878;1.2439;1.6098;0.0000;11.0000;1000.3950;"M";"M";0;"botafogo-rj";0.00;0.00
"atlético-mg";2014;4;"2014-05-11";"C";2;0.3659;0.3171;0.3171;1.2195;1.0000;1.0000;1.0000;995.9250;"E";"M";1;"atlético-mg";19.30;69.66
"chapecoense";2014;4;"2014-05-11";"C";1;0.0000;0.3333;0.6667;0.3333;1.0000;0.0000;1.0000;999.5200;"E";"V";0;"grêmio";4.80;23.24
"corinthians";2014;4;"2014-05-11";"F";1;0.3171;0.2439;0.2439;0.7317;0.5366;0.0000;16.0000;1004.4175;"E";"E";0;"empate";25.70;109.05
"sport";2014;4;"2014-05-11";"F";1;0.3333;5.0000;0.3333;1.3333;1.3333;0.0000;7.0000;1006.5900;"M";"V";1;"sport";31.80;52.84
"santos";2014;4;"2014-05-11";"F";2;0.3659;0.0000;0.2683;1.2683;0.9512;2.0000;4.0000;1000.2950;"V";"V";1;"santos";28.90;70.27
"cruzeiro";2014;4;"2014-05-11";"F";1;0.6098;0.3171;0.1951;2.0244;1.0000;1.0000;12.0000;994.3950;"E";"M";0;"atlético-mg";4.50;35.69
"fluminense";2014;4;"2014-05-11";"C";2;0.3415;0.2439;0.4146;1.1707;1.1951;1.0000;9.0000;1003.1850;"E";"M";1;"fluminense";49.80;130.22
"figueirense";2014;4;"2014-05-11";"C";0;0.0000;0.0000;1.0000;0.0000;2.0000;0.0000;0.0000;1000.2250;"V";"V";0;"santos";-0.90;2.37
"coritiba";2014;4;"2014-05-11";"C";0;0.2927;0.3659;0.3415;1.0732;1.1463;1.0000;6.0000;1000.3975;"M";"V";0;"sport";1.00;9.81
"flamengo";2014;4;"2014-05-11";"F";0;0.3171;0.2439;0.3415;1.1463;1.2195;1.0000;10.0000;995.5275;"E";"M";0;"fluminense";7.40;66.11
"são paulo";2014;4;"2014-05-11";"C";1;0.3659;0.2439;0.3902;1.0976;1.0488;0.0000;8.0000;997.2875;"E";"E";0;"empate";12.10;63.40
"grêmio";2014;4;"2014-05-11";"F";2;0.4634;0.0244;0.2439;1.0732;0.9024;0.0000;9.0000;1001.5125;"E";"V";1;"grêmio";20.40;86.24
"vitória";2014;4;"2014-05-11";"F";1;0.4146;0.2927;0.2927;1.5366;1.3902;1.0000;9.0000;1001.5200;"E";"E";0;"empate";19.60;32.46
"bahia";2014;4;"2014-05-11";"C";1;0.3415;0.2927;0.3659;1.0000;1.1463;1.0000;15.0000;1005.3300;"E";"E";0;"empate";0.90;3.46
"goiás";2014;5;"2014-05-14";"C";2;0.4286;0.2857;0.2857;1.1905;1.0952;1.0000;9.0000;1004.6450;"M";"M";1;"goiás";0.00;0.00
"botafogo-rj";2014;5;"2014-05-14";"F";0;0.4286;0.2857;0.3095;1.5000;1.1190;0.0000;10.0000;993.6475;"M";"M";0;"goiás";0.00;0.00
"coritiba";2014;5;"2014-05-17";"F";2;0.2857;0.1905;0.3571;1.0476;1.1429;0.0000;1.0000;1000.3975;"M";"M";0;"cruzeiro";1.60;26.41
"cruzeiro";2014;5;"2014-05-17";"C";3;0.5952;0.1905;0.2143;2.0000;1.0238;2.0000;7.0000;994.3950;"M";"M";1;"cruzeiro";26.10;79.22
"corinthians";2014;5;"2014-05-18";"C";0;0.3095;0.4524;0.2381;0.7381;0.5476;1.0000;12.0000;1003.4175;"M";"V";0;"figueirense";2.80;91.54
"figueirense";2014;5;"2014-05-18";"F";1;0.0000;4.7500;1.0000;0.0000;2.0000;0.0000;0.0000;1001.2250;"M";"V";1;"figueirense";9.00;10.24
"chapecoense";2014;5;"2014-05-18";"F";1;0.0000;2.7500;0.7500;0.5000;1.2500;0.0000;0.0000;1000.0200;"M";"E";0;"empate";5.30;15.02
"vitória";2014;5;"2014-05-18";"C";0;0.4048;0.3095;0.2857;1.5238;1.3810;2.0000;10.0000;1001.0200;"E";"V";0;"palmeiras";-1.50;48.73
"são paulo";2014;5;"2014-05-18";"F";2;0.3571;0.3333;0.3810;1.0952;1.0476;0.0000;4.0000;998.7875;"M";"V";1;"são paulo";22.90;57.13
"grêmio";2014;5;"2014-05-18";"C";1;0.4762;0.2857;0.2381;1.0952;0.9048;1.0000;14.0000;1001.5125;"M";"M";1;"grêmio";41.30;89.92
"internacional";2014;5;"2014-05-18";"F";0;0.3333;0.1667;0.2857;1.3810;1.3333;1.0000;16.0000;993.9700;"E";"E";0;"empate";9.90;56.00
"santos";2014;5;"2014-05-18";"C";1;0.3810;0.3571;0.2619;1.2857;0.9286;1.0000;12.0000;999.2950;"M";"V";0;"atlético-mg";19.90;95.83
"athlético-pr";2014;5;"2014-05-18";"C";1;0.4524;0.2619;0.2857;1.6905;1.3333;2.0000;1.0000;1000.0825;"M";"E";0;"empate";24.10;50.47
"fluminense";2014;5;"2014-05-18";"F";0;0.3571;0.2857;0.4048;1.1905;1.1667;0.0000;14.0000;1003.1850;"M";"M";0;"grêmio";3.10;132.01
"criciúma";2014;5;"2014-05-18";"C";0;0.3333;0.1667;0.5000;1.2143;1.7143;1.0000;6.0000;1000.3950;"E";"E";0;"empate";0.00;0.00
"atlético-mg";2014;5;"2014-05-18";"F";2;0.3810;0.3571;0.3095;1.2381;1.0000;0.0000;11.0000;996.9250;"M";"V";1;"atlético-mg";28.90;74.92
"palmeiras";2014;5;"2014-05-18";"F";1;0.5000;3.2500;0.5000;1.5000;1.5000;2.0000;9.0000;994.2400;"E";"V";1;"palmeiras";15.80;45.70
"flamengo";2014;5;"2014-05-18";"C";0;0.3095;0.3333;0.3571;1.1190;1.2381;1.0000;6.0000;994.0275;"M";"V";0;"são paulo";19.00;92.79
"sport";2014;5;"2014-06-04";"C";1;0.3750;0.2500;0.3750;0.8750;1.2500;0.0000;11.0000;1007.3400;"V";"M";1;"sport";0.00;0.00
"bahia";2014;5;"2014-06-04";"F";0;0.3043;0.0435;0.3913;0.9565;1.1739;1.0000;2.0000;1003.3300;"V";"M";0;"sport";0.00;0.00
"chapecoense";2014;6;"2014-05-21";"F";0;0.0000;1.6000;0.6000;0.6000;1.2000;1.0000;3.0000;999.5200;"E";"M";0;"criciúma";14.50;31.23
"athlético-pr";2014;6;"2014-05-21";"F";1;0.4419;0.4419;0.2791;1.6744;1.3256;0.0000;5.0000;1000.5825;"M";"E";0;"empate";19.70;53.10
"cruzeiro";2014;6;"2014-05-21";"C";2;0.6047;0.1860;0.2093;2.0233;1.0465;1.0000;12.0000;994.3950;"M";"M";1;"cruzeiro";59.30;85.13
"sport";2014;6;"2014-05-21";"F";0;0.5000;2.0000;0.2500;1.2500;1.0000;0.0000;12.0000;1006.5900;"M";"M";0;"cruzeiro";5.40;34.24
"bahia";2014;6;"2014-05-21";"F";1;0.3333;0.3333;0.3571;1.0000;1.1429;1.0000;12.0000;1005.3300;"E";"E";0;"empate";0.00;3.14
"grêmio";2014;6;"2014-05-21";"C";2;0.4884;0.2791;0.2326;1.0930;0.8837;1.0000;16.0000;1001.5125;"M";"M";1;"grêmio";30.50;91.02
"internacional";2014;6;"2014-05-21";"F";1;0.3256;0.3488;0.2791;1.3488;1.3023;1.0000;12.0000;993.9700;"E";"E";0;"empate";9.50;34.63
"são paulo";2014;6;"2014-05-21";"F";2;0.3721;0.2326;0.3721;1.1163;1.0233;1.0000;10.0000;997.9125;"E";"M";0;"fluminense";-7.60;47.80
"fluminense";2014;6;"2014-05-21";"C";5;0.3488;0.2326;0.4186;1.1628;1.1628;1.0000;6.0000;1004.0600;"E";"M";1;"fluminense";37.40;88.76
"botafogo-rj";2014;6;"2014-05-21";"F";1;0.4186;0.2791;0.3256;1.4651;1.1395;0.0000;6.0000;993.6475;"M";"M";0;"grêmio";12.80;53.43
"corinthians";2014;6;"2014-05-21";"C";1;0.3023;0.4419;0.2558;0.7209;0.5581;1.0000;5.0000;1002.9175;"M";"E";0;"empate";15.30;114.79
"coritiba";2014;6;"2014-05-21";"C";1;0.2791;0.3488;0.3721;1.0698;1.1860;1.0000;1.0000;1000.3975;"E";"E";0;"empate";1.50;17.16
"criciúma";2014;6;"2014-05-21";"C";1;0.3256;0.1860;0.4884;1.1860;1.6744;1.0000;6.0000;1000.8950;"E";"M";1;"criciúma";0.00;0.00
"flamengo";2014;6;"2014-05-21";"C";1;0.3023;0.3256;0.3721;1.0930;1.2558;1.0000;3.0000;994.0275;"E";"E";0;"empate";17.50;74.40
"figueirense";2014;6;"2014-05-22";"F";0;0.2000;0.0000;0.8000;0.2000;1.6000;0.0000;9.0000;1000.7250;"E";"M";0;"palmeiras";1.60;10.69
"goiás";2014;6;"2014-05-22";"C";2;0.4419;0.2791;0.2791;1.2093;1.0698;1.0000;12.0000;1004.1450;"M";"E";0;"empate";0.00;0.00
"vitória";2014;6;"2014-05-22";"C";2;0.3953;0.3023;0.3023;1.4884;1.3721;1.0000;5.0000;1000.0200;"M";"V";0;"atlético-mg";-5.20;28.38
"atlético-mg";2014;6;"2014-05-22";"F";3;0.3953;0.3023;0.3023;1.2558;1.0000;0.0000;15.0000;997.9250;"M";"V";1;"atlético-mg";6.80;55.81
"santos";2014;6;"2014-05-22";"F";2;0.3721;0.2791;0.2791;1.2791;0.9535;0.0000;7.0000;999.7950;"M";"E";0;"empate";24.70;76.93
"palmeiras";2014;6;"2014-05-22";"C";1;0.6000;0.0000;0.4000;1.4000;1.2000;0.0000;15.0000;994.7400;"E";"M";1;"palmeiras";30.10;49.58
"grêmio";2014;7;"2014-05-24";"F";0;0.5000;0.2500;0.2273;1.1136;0.8864;0.0000;18.0000;1001.5125;"M";"M";0;"são paulo";20.30;88.86
"bahia";2014;7;"2014-05-24";"C";0;0.3256;0.3256;0.3488;1.0000;1.1395;0.0000;8.0000;1004.8300;"E";"V";0;"fluminense";4.00;4.03
"são paulo";2014;7;"2014-05-24";"C";1;0.3636;0.2500;0.3864;1.1364;1.1136;1.0000;7.0000;997.9125;"M";"M";1;"são paulo";17.60;51.54
"fluminense";2014;7;"2014-05-24";"F";1;0.3636;0.3182;0.4091;1.2500;1.1818;0.0000;14.0000;1004.5600;"E";"V";1;"fluminense";24.60;86.89
"criciúma";2014;7;"2014-05-25";"F";0;0.3409;0.2955;0.4773;1.1818;1.6364;0.0000;9.0000;1001.3950;"M";"E";0;"empate";0.00;0.00
"coritiba";2014;7;"2014-05-25";"F";0;0.2727;0.2955;0.3636;1.0682;1.1818;0.0000;5.0000;1000.3975;"M";"M";0;"athlético-pr";1.60;25.22
"corinthians";2014;7;"2014-05-25";"F";4;0.2955;0.0227;0.2500;0.7273;0.5682;0.0000;4.0000;1004.6675;"M";"V";1;"corinthians";38.10;117.70
"atlético-mg";2014;7;"2014-05-25";"C";0;0.4091;0.2955;0.2955;1.2955;1.0227;2.0000;18.0000;997.4250;"M";"E";0;"empate";26.90;61.34
"santos";2014;7;"2014-05-25";"C";0;0.3636;0.3636;0.2727;1.2955;0.9773;1.0000;6.0000;999.2950;"M";"E";0;"empate";18.30;47.95
"sport";2014;7;"2014-05-25";"C";1;0.4000;0.2000;0.4000;1.0000;1.2000;1.0000;6.0000;1004.8400;"M";"V";0;"corinthians";-8.40;45.58
"cruzeiro";2014;7;"2014-05-25";"F";3;0.6136;0.4091;0.2045;2.0227;1.0227;1.0000;15.0000;995.1450;"E";"V";1;"cruzeiro";6.10;70.80
"flamengo";2014;7;"2014-05-25";"F";0;0.2955;0.3636;0.3636;1.0909;1.2500;0.0000;3.0000;994.5275;"M";"E";0;"empate";37.30;78.76
"athlético-pr";2014;7;"2014-05-25";"C";2;0.4318;0.2955;0.2727;1.6591;1.3182;1.0000;5.0000;1000.5825;"M";"M";1;"athlético-pr";17.90;60.97
"botafogo-rj";2014;7;"2014-05-25";"C";1;0.4091;0.2500;0.3409;1.4545;1.1591;2.0000;3.0000;993.1475;"M";"E";0;"empate";7.70;45.92
"chapecoense";2014;7;"2014-05-25";"C";2;0.0000;0.3333;0.6667;0.5000;1.1667;0.0000;2.0000;1001.0200;"V";"M";1;"chapecoense";6.70;18.24
"vitória";2014;7;"2014-05-25";"F";1;0.3864;0.2500;0.3182;1.5000;1.4091;1.0000;1.0000;1000.5200;"M";"E";0;"empate";3.70;27.05
"palmeiras";2014;7;"2014-05-25";"F";0;0.6667;0.3333;0.3333;1.3333;1.0000;1.0000;18.0000;993.2400;"V";"M";0;"chapecoense";11.00;44.66
"internacional";2014;7;"2014-05-25";"C";1;0.3182;0.4091;0.2727;1.3409;1.2955;1.0000;8.0000;993.2200;"E";"V";0;"cruzeiro";11.00;33.01
"figueirense";2014;7;"2014-05-25";"C";0;0.1667;0.0000;0.8333;0.1667;1.5000;0.0000;6.0000;1000.7250;"V";"V";0;"goiás";16.10;13.41
"goiás";2014;7;"2014-05-25";"F";1;0.4318;0.0000;0.2727;1.2273;1.0909;2.0000;9.0000;1004.1450;"V";"V";1;"goiás";0.00;0.00
"corinthians";2014;8;"2014-05-28";"C";1;0.3111;0.4444;0.2444;0.8000;0.5778;0.0000;11.0000;1005.1675;"E";"M";1;"corinthians";56.00;90.88
"goiás";2014;8;"2014-05-28";"C";0;0.4444;0.2889;0.2667;1.2222;1.0667;1.0000;14.0000;1004.1450;"E";"E";0;"empate";0.00;0.00
"coritiba";2014;8;"2014-05-28";"F";0;0.2667;0.2000;0.3778;1.0444;1.2000;0.0000;0.0000;1000.3975;"M";"M";0;"criciúma";7.00;9.90
"criciúma";2014;8;"2014-05-28";"C";1;0.3333;0.2000;0.4667;1.1556;1.6000;1.0000;10.0000;1001.3950;"M";"M";1;"criciúma";0.00;0.00
"internacional";2014;8;"2014-05-28";"C";2;0.3111;0.4000;0.2889;1.3333;1.3333;1.0000;3.0000;993.2200;"M";"M";1;"internacional";44.10;50.42
"palmeiras";2014;8;"2014-05-28";"C";0;0.5714;0.0000;0.4286;1.1429;1.1429;1.0000;9.0000;991.7400;"M";"V";0;"botafogo-rj";10.10;43.37
"são paulo";2014;8;"2014-05-28";"F";2;0.3778;0.2889;0.3778;1.1333;1.0889;0.0000;14.0000;998.4125;"M";"E";0;"empate";18.70;46.59
"botafogo-rj";2014;8;"2014-05-28";"F";2;0.4000;0.0000;0.3333;1.4444;1.1556;0.0000;3.0000;994.6475;"M";"V";1;"botafogo-rj";13.70;30.35
"fluminense";2014;8;"2014-05-28";"F";0;0.3778;0.3111;0.4000;1.2444;1.1556;0.0000;15.0000;1004.5600;"M";"M";0;"atlético-mg";13.10;79.20
